status,url_len,host_len,special_char,is_https,url_digit,host_digit
1,37,19,2,0,0.0,0.0
0,77,23,1,0,0.22077922077922077,0.7391304347826086
0,126,50,5,1,0.15079365079365079,0.38
1,18,11,2,0,0.0,0.0
1,55,15,2,0,0.0,0.0
0,32,24,4,0,0.0,0.0
1,19,12,2,0,0.0,0.0
0,81,27,2,0,0.25925925925925924,0.7777777777777778
1,42,34,2,0,0.0,0.0
1,104,10,1,1,0.07692307692307693,0.8
1,56,22,2,1,0.0,0.0
1,43,16,2,1,0.18604651162790697,0.5
1,83,14,1,1,0.012048192771084338,0.07142857142857142
0,31,10,1,0,0.06451612903225806,0.2
1,25,16,2,1,0.0,0.0
0,51,23,3,0,0.0196078431372549,0.043478260869565216
1,31,22,2,1,0.0,0.0
0,50,21,2,0,0.06,0.14285714285714285
0,34,23,2,0,0.0,0.0
1,27,19,2,0,0.14814814814814814,0.21052631578947367
1,63,14,3,0,0.0,0.0
1,66,16,2,1,0.0,0.0
0,40,11,1,0,0.1,0.36363636363636365
1,48,16,2,0,0.0,0.0
0,126,50,5,0,0.09523809523809523,0.24
0,41,32,2,1,0.0,0.0
1,36,27,2,1,0.0,0.0
1,72,24,4,0,0.0,0.0
0,68,42,4,0,0.16176470588235295,0.2619047619047619
0,163,14,2,0,0.3987730061349693,4.642857142857143
1,26,18,2,0,0.0,0.0
0,64,17,2,0,0.34375,1.2941176470588236
0,36,28,4,0,0.25,0.32142857142857145
0,61,14,1,0,0.0,0.0
1,66,17,2,1,0.21212121212121213,0.8235294117647058
1,35,26,2,1,0.0,0.0
0,113,24,1,0,0.0,0.0
1,41,34,6,0,0.0,0.0
1,23,12,3,0,0.0,0.0
1,31,24,3,0,0.0,0.0
0,84,30,1,0,0.0,0.0
0,29,17,2,0,0.0,0.0
0,98,26,3,0,0.29591836734693877,1.1153846153846154
1,15,8,1,0,0.0,0.0
1,65,22,2,0,0.0,0.0
0,131,27,3,1,0.030534351145038167,0.14814814814814814
1,50,23,3,1,0.0,0.0
0,51,32,2,0,0.0,0.0
1,45,11,2,1,0.13333333333333333,0.5454545454545454
0,159,14,1,0,0.27044025157232704,3.0714285714285716
0,44,22,2,1,0.22727272727272727,0.45454545454545453
0,103,19,2,1,0.07766990291262135,0.42105263157894735
0,46,20,3,0,0.0,0.0
1,45,16,2,1,0.0,0.0
0,51,26,3,0,0.0,0.0
0,38,19,2,0,0.0,0.0
0,81,27,2,0,0.2839506172839506,0.8518518518518519
1,112,31,2,0,0.0,0.0
0,39,16,2,1,0.0,0.0
0,99,15,2,1,0.08080808080808081,0.5333333333333333
1,45,27,2,1,0.0,0.0
0,60,35,4,0,0.03333333333333333,0.05714285714285714
1,74,19,2,0,0.08108108108108109,0.3157894736842105
1,61,18,3,0,0.0,0.0
0,40,32,4,1,0.125,0.15625
0,52,24,2,0,0.038461538461538464,0.08333333333333333
0,88,24,3,1,0.0,0.0
1,74,12,1,0,0.02702702702702703,0.16666666666666666
1,46,16,2,0,0.06521739130434782,0.1875
1,54,17,2,0,0.0,0.0
0,54,21,2,0,0.0,0.0
1,38,16,2,1,0.0,0.0
1,67,15,2,0,0.0,0.0
0,62,13,1,0,0.0,0.0
0,59,17,1,0,0.06779661016949153,0.23529411764705882
0,57,38,3,1,0.017543859649122806,0.02631578947368421
1,32,12,1,0,0.0,0.0
0,46,25,2,0,0.0,0.0
1,37,16,2,1,0.0,0.0
0,36,29,2,0,0.027777777777777776,0.034482758620689655
0,52,18,1,0,0.038461538461538464,0.1111111111111111
0,32,24,2,0,0.25,0.3333333333333333
1,34,11,1,1,0.0,0.0
1,27,19,3,0,0.0,0.0
0,92,22,2,0,0.30434782608695654,1.2727272727272727
1,102,12,2,0,0.058823529411764705,0.5
1,32,23,2,1,0.0,0.0
1,29,20,2,1,0.0,0.0
0,119,24,2,0,0.008403361344537815,0.041666666666666664
1,59,21,2,1,0.06779661016949153,0.19047619047619047
1,54,19,1,0,0.0,0.0
0,151,10,1,0,0.271523178807947,4.1
1,84,25,2,0,0.03571428571428571,0.12
0,55,10,2,0,0.0,0.0
1,18,9,1,1,0.0,0.0
1,39,16,2,1,0.0,0.0
1,28,19,3,1,0.0,0.0
1,32,16,3,0,0.0,0.0
1,16,9,1,0,0.0,0.0
0,23,12,1,0,0.0,0.0
1,29,21,3,0,0.0,0.0
0,29,20,2,1,0.0,0.0
1,41,15,2,1,0.0,0.0
0,22,6,1,1,0.18181818181818182,0.6666666666666666
0,52,14,2,0,0.038461538461538464,0.14285714285714285
0,38,20,2,0,0.02631578947368421,0.05
1,30,21,3,1,0.0,0.0
0,76,50,5,0,0.10526315789473684,0.16
0,430,13,3,1,0.03953488372093023,1.3076923076923077
1,37,19,2,0,0.0,0.0
1,73,23,2,0,0.0684931506849315,0.21739130434782608
0,56,15,2,0,0.10714285714285714,0.4
1,70,13,1,1,0.0,0.0
0,70,20,2,0,0.0,0.0
1,52,19,2,0,0.07692307692307693,0.21052631578947367
1,31,22,3,1,0.0,0.0
0,90,19,2,1,0.24444444444444444,1.1578947368421053
1,45,15,2,0,0.15555555555555556,0.4666666666666667
1,55,20,2,0,0.03636363636363636,0.1
0,65,12,2,0,0.07692307692307693,0.4166666666666667
0,41,33,3,0,0.07317073170731707,0.09090909090909091
0,71,25,2,1,0.16901408450704225,0.48
0,83,16,2,1,0.07228915662650602,0.375
0,73,18,1,0,0.3424657534246575,1.3888888888888888
0,44,30,4,0,0.20454545454545456,0.3
0,114,16,2,1,0.05263157894736842,0.375
0,127,50,5,1,0.15748031496062992,0.4
0,99,20,2,0,0.0707070707070707,0.35
0,56,20,3,0,0.0,0.0
1,51,17,2,1,0.0,0.0
0,51,14,2,0,0.0,0.0
1,40,24,3,1,0.0,0.0
0,33,14,3,0,0.0,0.0
1,88,20,2,1,0.0,0.0
1,122,18,2,1,0.04918032786885246,0.3333333333333333
1,53,20,2,0,0.0,0.0
0,46,37,7,1,0.08695652173913043,0.10810810810810811
0,36,29,2,0,0.0,0.0
1,31,23,2,0,0.0,0.0
1,48,16,2,1,0.0,0.0
0,101,6,1,1,0.0,0.0
1,41,19,2,0,0.0,0.0
0,43,35,4,0,0.09302325581395349,0.11428571428571428
1,15,8,1,0,0.0,0.0
1,42,10,2,0,0.07142857142857142,0.3
1,51,15,1,0,0.0,0.0
0,48,27,5,0,0.0,0.0
1,49,19,1,0,0.0,0.0
0,25,13,2,1,0.0,0.0
1,49,15,2,1,0.02040816326530612,0.06666666666666667
1,48,25,2,0,0.020833333333333332,0.04
0,108,25,2,0,0.037037037037037035,0.16
0,39,20,1,0,0.0,0.0
1,80,20,3,0,0.0,0.0
1,36,17,2,0,0.0,0.0
1,28,19,3,1,0.0,0.0
0,33,14,2,1,0.06060606060606061,0.14285714285714285
1,23,14,3,1,0.0,0.0
1,77,18,2,1,0.0,0.0
0,342,19,3,1,0.4152046783625731,7.473684210526316
0,38,29,3,1,0.13157894736842105,0.1724137931034483
1,73,22,2,0,0.0,0.0
1,33,15,2,1,0.0,0.0
0,67,17,2,0,0.0,0.0
1,39,18,2,1,0.05128205128205128,0.1111111111111111
1,24,15,2,1,0.0,0.0
1,26,17,2,1,0.0,0.0
1,39,7,1,1,0.1282051282051282,0.7142857142857143
0,62,22,4,0,0.3548387096774194,1.0
0,41,13,1,0,0.0,0.0
0,40,31,2,1,0.0,0.0
1,51,26,3,0,0.0,0.0
1,59,12,2,1,0.06779661016949153,0.3333333333333333
1,50,20,2,1,0.0,0.0
0,52,25,3,0,0.057692307692307696,0.12
0,43,15,1,0,0.0,0.0
0,94,42,2,0,0.1276595744680851,0.2857142857142857
1,60,15,2,0,0.0,0.0
1,18,11,1,0,0.0,0.0
0,204,27,2,1,0.1323529411764706,1.0
0,94,24,3,1,0.1595744680851064,0.625
0,41,33,5,0,0.0,0.0
0,19,11,2,0,0.15789473684210525,0.2727272727272727
0,35,22,2,0,0.02857142857142857,0.045454545454545456
0,63,26,1,0,0.0,0.0
0,53,21,2,0,0.07547169811320754,0.19047619047619047
0,75,44,7,0,0.0,0.0
0,35,27,2,1,0.11428571428571428,0.14814814814814814
0,210,14,2,1,0.06666666666666667,1.0
1,44,13,1,1,0.0,0.0
0,150,40,4,0,0.4866666666666667,1.825
0,39,22,2,0,0.0,0.0
0,64,15,2,0,0.0,0.0
0,106,20,3,1,0.16037735849056603,0.85
0,34,20,2,1,0.0,0.0
1,65,16,2,1,0.0,0.0
0,60,14,2,0,0.03333333333333333,0.14285714285714285
0,25,14,1,0,0.0,0.0
1,39,21,2,0,0.1282051282051282,0.23809523809523808
1,38,15,3,0,0.0,0.0
0,129,8,1,1,0.023255813953488372,0.375
1,52,15,2,1,0.0,0.0
0,30,14,3,0,0.36666666666666664,0.7857142857142857
1,33,24,2,1,0.0,0.0
1,118,27,2,0,0.07627118644067797,0.3333333333333333
1,27,20,2,0,0.0,0.0
1,78,16,2,0,0.16666666666666666,0.8125
0,35,27,3,0,0.02857142857142857,0.037037037037037035
0,32,18,2,0,0.0,0.0
0,64,39,6,0,0.0625,0.10256410256410256
0,38,29,3,1,0.07894736842105263,0.10344827586206896
1,24,15,3,1,0.0,0.0
1,68,15,2,0,0.0,0.0
0,126,50,5,1,0.16666666666666666,0.42
1,41,16,2,1,0.0,0.0
1,48,16,2,1,0.0,0.0
1,29,21,2,0,0.0,0.0
1,24,15,2,1,0.0,0.0
1,50,17,2,1,0.02,0.058823529411764705
0,126,50,5,0,0.11904761904761904,0.3
1,39,11,2,1,0.0,0.0
0,102,15,1,0,0.19607843137254902,1.3333333333333333
1,31,23,2,0,0.06451612903225806,0.08695652173913043
0,86,22,4,0,0.27906976744186046,1.0909090909090908
1,78,16,2,1,0.10256410256410256,0.5
1,29,20,3,1,0.0,0.0
1,33,12,2,0,0.21212121212121213,0.5833333333333334
0,27,12,2,0,0.0,0.0
1,24,15,2,1,0.0,0.0
1,39,20,2,1,0.0,0.0
1,28,21,3,0,0.0,0.0
0,87,24,2,0,0.12643678160919541,0.4583333333333333
1,43,18,2,0,0.0,0.0
1,27,19,2,0,0.0,0.0
1,101,17,2,0,0.07920792079207921,0.47058823529411764
1,60,28,4,0,0.0,0.0
1,38,13,2,0,0.0,0.0
0,19,10,1,1,0.0,0.0
1,137,15,2,1,0.26277372262773724,2.4
0,263,179,13,0,0.12927756653992395,0.18994413407821228
0,22,6,1,1,0.18181818181818182,0.6666666666666666
0,89,21,1,0,0.011235955056179775,0.047619047619047616
1,28,19,2,1,0.0,0.0
1,49,26,2,0,0.02040816326530612,0.038461538461538464
0,45,36,6,1,0.06666666666666667,0.08333333333333333
0,30,22,2,0,0.0,0.0
0,54,10,1,0,0.0,0.0
1,29,22,2,0,0.0,0.0
0,86,16,1,0,0.0,0.0
0,26,18,2,0,0.07692307692307693,0.1111111111111111
1,83,20,2,1,0.10843373493975904,0.45
0,49,28,2,1,0.0,0.0
1,33,12,2,0,0.21212121212121213,0.5833333333333334
1,40,18,2,0,0.0,0.0
1,56,18,2,0,0.0,0.0
1,27,18,2,1,0.0,0.0
1,70,33,4,0,0.0,0.0
0,128,120,10,0,0.0546875,0.058333333333333334
0,25,6,1,0,0.12,0.5
1,33,16,2,1,0.0,0.0
1,52,16,2,1,0.0,0.0
1,31,22,2,1,0.0,0.0
0,41,32,2,1,0.0975609756097561,0.125
1,33,24,2,1,0.0,0.0
0,32,23,2,1,0.0,0.0
1,66,30,2,0,0.030303030303030304,0.06666666666666667
1,85,14,2,1,0.09411764705882353,0.5714285714285714
1,52,20,2,1,0.0,0.0
1,109,19,2,1,0.05504587155963303,0.3157894736842105
1,84,20,1,0,0.0,0.0
0,110,16,2,1,0.12727272727272726,0.875
0,171,25,1,0,0.30409356725146197,2.08
1,17,9,1,0,0.0,0.0
1,19,12,1,0,0.0,0.0
0,98,14,3,0,0.2857142857142857,2.0
0,32,24,2,0,0.0,0.0
1,28,20,3,1,0.0,0.0
0,64,31,2,0,0.03125,0.06451612903225806
1,40,16,2,1,0.0,0.0
0,132,32,3,1,0.11363636363636363,0.46875
0,124,24,3,1,0.04838709677419355,0.25
0,51,18,1,0,0.0,0.0
0,141,48,2,1,0.2907801418439716,0.8541666666666666
0,126,50,5,0,0.12698412698412698,0.32
1,21,14,2,0,0.0,0.0
1,53,14,2,0,0.03773584905660377,0.14285714285714285
1,27,18,2,1,0.0,0.0
